Sim Number,Strategy,End Bankroll,Start Bankroll,Dice Rolls
0,corey,186.0,200,60
0,coreynofield,201.0,200,60
0,hammerlock,64.0,200,60
0,knockout,205.0,200,60
0,pass2come,205.0,200,60
1,corey,109.0,200,67
1,coreynofield,154.0,200,67
1,hammerlock,265.0,200,67
1,knockout,105.0,200,67
1,pass2come,160.0,200,67
2,corey,129.0,200,47
2,coreynofield,144.0,200,47
2,hammerlock,112.0,200,47
2,knockout,20.0,200,47
2,pass2come,170.0,200,47
3,corey,183.0,200,80
3,coreynofield,158.0,200,80
3,hammerlock,197.0,200,80
3,knockout,185.0,200,80
3,pass2come,140.0,200,80
4,corey,124.0,200,63
4,coreynofield,164.0,200,63
4,hammerlock,304.0,200,63
4,knockout,70.0,200,63
4,pass2come,150.0,200,63
5,corey,157.0,200,93
5,coreynofield,222.0,200,93
5,hammerlock,374.0,200,93
5,knockout,165.0,200,93
5,pass2come,180.0,200,93
6,corey,144.0,200,92
6,coreynofield,144.0,200,92
6,hammerlock,382.0,200,92
6,knockout,110.0,200,92
6,pass2come,160.0,200,92
7,corey,137.0,200,64
7,coreynofield,142.0,200,64
7,hammerlock,295.0,200,64
7,knockout,80.0,200,64
7,pass2come,160.0,200,64
8,corey,117.0,200,93
8,coreynofield,137.0,200,93
8,hammerlock,239.0,200,93
8,knockout,165.0,200,93
8,pass2come,175.0,200,93
9,corey,168.0,200,85
9,coreynofield,223.0,200,85
9,hammerlock,217.0,200,85
9,knockout,135.0,200,85
9,pass2come,205.0,200,85
10,corey,30.0,200,80
10,coreynofield,95.0,200,80
10,hammerlock,443.0,200,80
10,knockout,40.0,200,80
10,pass2come,145.0,200,80
11,corey,256.0,200,88
11,coreynofield,201.0,200,88
11,hammerlock,212.0,200,88
11,knockout,180.0,200,88
11,pass2come,225.0,200,88
12,corey,176.0,200,63
12,coreynofield,211.0,200,63
12,hammerlock,181.0,200,63
12,knockout,140.0,200,63
12,pass2come,215.0,200,63
13,corey,138.0,200,72
13,coreynofield,173.0,200,72
13,hammerlock,204.0,200,72
13,knockout,205.0,200,72
13,pass2come,165.0,200,72
14,corey,179.0,200,63
14,coreynofield,189.0,200,63
14,hammerlock,143.0,200,63
14,knockout,155.0,200,63
14,pass2come,175.0,200,63
15,corey,115.0,200,61
15,coreynofield,75.0,200,61
15,hammerlock,358.0,200,61
15,knockout,10.0,200,61
15,pass2come,125.0,200,61
16,corey,128.0,200,92
16,coreynofield,148.0,200,92
16,hammerlock,240.0,200,92
16,knockout,190.0,200,92
16,pass2come,150.0,200,92
17,corey,216.0,200,87
17,coreynofield,146.0,200,87
17,hammerlock,316.0,200,87
17,knockout,150.0,200,87
17,pass2come,140.0,200,87
18,corey,145.0,200,72
18,coreynofield,185.0,200,72
18,hammerlock,342.0,200,72
18,knockout,135.0,200,72
18,pass2come,155.0,200,72
19,corey,276.0,200,109
19,coreynofield,261.0,200,109
19,hammerlock,113.0,200,109
19,knockout,265.0,200,109
19,pass2come,265.0,200,109
20,corey,111.0,200,75
20,coreynofield,186.0,200,75
20,hammerlock,243.0,200,75
20,knockout,145.0,200,75
20,pass2come,180.0,200,75
21,corey,164.0,200,76
21,coreynofield,159.0,200,76
21,hammerlock,204.0,200,76
21,knockout,175.0,200,76
21,pass2come,205.0,200,76
22,corey,214.0,200,88
22,coreynofield,199.0,200,88
22,hammerlock,244.0,200,88
22,knockout,185.0,200,88
22,pass2come,225.0,200,88
23,corey,143.0,200,85
23,coreynofield,198.0,200,85
23,hammerlock,248.0,200,85
23,knockout,180.0,200,85
23,pass2come,210.0,200,85
24,corey,119.0,200,84
24,coreynofield,164.0,200,84
24,hammerlock,293.0,200,84
24,knockout,140.0,200,84
24,pass2come,190.0,200,84
25,corey,135.0,200,90
25,coreynofield,210.0,200,90
25,hammerlock,84.0,200,90
25,knockout,265.0,200,90
25,pass2come,200.0,200,90
26,corey,304.0,200,102
26,coreynofield,289.0,200,102
26,hammerlock,161.0,200,102
26,knockout,335.0,200,102
26,pass2come,225.0,200,102
27,corey,62.0,200,69
27,coreynofield,132.0,200,69
27,hammerlock,245.0,200,69
27,knockout,120.0,200,69
27,pass2come,160.0,200,69
28,corey,177.0,200,60
28,coreynofield,177.0,200,60
28,hammerlock,332.0,200,60
28,knockout,75.0,200,60
28,pass2come,185.0,200,60
29,corey,118.0,200,77
29,coreynofield,158.0,200,77
29,hammerlock,140.0,200,77
29,knockout,210.0,200,77
29,pass2come,190.0,200,77
30,corey,191.0,200,79
30,coreynofield,181.0,200,79
30,hammerlock,180.0,200,79
30,knockout,165.0,200,79
30,pass2come,195.0,200,79
31,corey,57.0,200,101
31,coreynofield,137.0,200,101
31,hammerlock,238.0,200,101
31,knockout,210.0,200,101
31,pass2come,165.0,200,101
32,corey,105.0,200,65
32,coreynofield,85.0,200,65
32,hammerlock,362.0,200,65
32,knockout,10.0,200,65
32,pass2come,135.0,200,65
33,corey,208.0,200,78
33,coreynofield,268.0,200,78
33,hammerlock,176.0,200,78
33,knockout,260.0,200,78
33,pass2come,230.0,200,78
34,corey,152.0,200,112
34,coreynofield,132.0,200,112
34,hammerlock,99.0,200,112
34,knockout,290.0,200,112
34,pass2come,190.0,200,112
35,corey,154.0,200,75
35,coreynofield,164.0,200,75
35,hammerlock,348.0,200,75
35,knockout,90.0,200,75
35,pass2come,190.0,200,75
36,corey,360.0,200,132
36,coreynofield,250.0,200,132
36,hammerlock,166.0,200,132
36,knockout,345.0,200,132
36,pass2come,230.0,200,132
37,corey,207.0,200,85
37,coreynofield,162.0,200,85
37,hammerlock,307.0,200,85
37,knockout,85.0,200,85
37,pass2come,180.0,200,85
38,corey,99.0,200,74
38,coreynofield,124.0,200,74
38,hammerlock,275.0,200,74
38,knockout,70.0,200,74
38,pass2come,160.0,200,74
39,corey,149.0,200,48
39,coreynofield,169.0,200,48
39,hammerlock,184.0,200,48
39,knockout,75.0,200,48
39,pass2come,165.0,200,48
40,corey,104.0,200,55
40,coreynofield,159.0,200,55
40,hammerlock,247.0,200,55
40,knockout,75.0,200,55
40,pass2come,175.0,200,55
41,corey,211.0,200,70
41,coreynofield,221.0,200,70
41,hammerlock,87.0,200,70
41,knockout,235.0,200,70
41,pass2come,215.0,200,70
42,corey,171.0,200,76
42,coreynofield,186.0,200,76
42,hammerlock,69.0,200,76
42,knockout,285.0,200,76
42,pass2come,190.0,200,76
43,corey,222.0,200,94
43,coreynofield,227.0,200,94
43,hammerlock,285.0,200,94
43,knockout,240.0,200,94
43,pass2come,195.0,200,94
44,corey,69.0,200,73
44,coreynofield,119.0,200,73
44,hammerlock,264.0,200,73
44,knockout,105.0,200,73
44,pass2come,145.0,200,73
45,corey,266.0,200,100
45,coreynofield,251.0,200,100
45,hammerlock,225.0,200,100
45,knockout,245.0,200,100
45,pass2come,245.0,200,100
46,corey,226.0,200,112
46,coreynofield,221.0,200,112
46,hammerlock,101.0,200,112
46,knockout,285.0,200,112
46,pass2come,225.0,200,112
47,corey,137.0,200,71
47,coreynofield,147.0,200,71
47,hammerlock,213.0,200,71
47,knockout,110.0,200,71
47,pass2come,165.0,200,71
48,corey,392.0,200,130
48,coreynofield,317.0,200,130
48,hammerlock,20.0,200,130
48,knockout,395.0,200,130
48,pass2come,285.0,200,130
49,corey,153.0,200,89
49,coreynofield,188.0,200,89
49,hammerlock,159.0,200,89
49,knockout,235.0,200,89
49,pass2come,190.0,200,89
50,corey,116.0,200,67
50,coreynofield,156.0,200,67
50,hammerlock,243.0,200,67
50,knockout,155.0,200,67
50,pass2come,150.0,200,67
51,corey,326.0,200,135
51,coreynofield,336.0,200,135
51,hammerlock,100.0,200,135
51,knockout,410.0,200,135
51,pass2come,270.0,200,135
52,corey,116.0,200,98
52,coreynofield,121.0,200,98
52,hammerlock,222.0,200,98
52,knockout,225.0,200,98
52,pass2come,135.0,200,98
53,corey,79.0,200,60
53,coreynofield,89.0,200,60
53,hammerlock,266.0,200,60
53,knockout,105.0,200,60
53,pass2come,95.0,200,60
54,corey,146.0,200,72
54,coreynofield,191.0,200,72
54,hammerlock,319.0,200,72
54,knockout,115.0,200,72
54,pass2come,195.0,200,72
55,corey,183.0,200,77
55,coreynofield,208.0,200,77
55,hammerlock,211.0,200,77
55,knockout,185.0,200,77
55,pass2come,210.0,200,77
56,corey,177.0,200,74
56,coreynofield,212.0,200,74
56,hammerlock,207.0,200,74
56,knockout,195.0,200,74
56,pass2come,200.0,200,74
57,corey,290.0,200,93
57,coreynofield,230.0,200,93
57,hammerlock,217.0,200,93
57,knockout,200.0,200,93
57,pass2come,200.0,200,93
58,corey,218.0,200,82
58,coreynofield,218.0,200,82
58,hammerlock,159.0,200,82
58,knockout,230.0,200,82
58,pass2come,190.0,200,82
59,corey,184.0,200,74
59,coreynofield,144.0,200,74
59,hammerlock,145.0,200,74
59,knockout,155.0,200,74
59,pass2come,180.0,200,74
60,corey,270.0,200,91
60,coreynofield,295.0,200,91
60,hammerlock,202.0,200,91
60,knockout,230.0,200,91
60,pass2come,275.0,200,91
61,corey,79.0,200,66
61,coreynofield,129.0,200,66
61,hammerlock,315.0,200,66
61,knockout,115.0,200,66
61,pass2come,155.0,200,66
62,corey,107.0,200,60
62,coreynofield,157.0,200,60
